time,memb_voltage
0.0,-65.0
0.01,-61.11131588602258
0.02,-61.0025640745575
0.03,-60.882106373091666
0.04,-60.750361746280525
0.05,-60.60767027678952
0.06,-60.45427140684415
0.07,-60.29029168260584
0.08,-60.11573100410391
0.09,-59.9304517007661
0.1,-59.734172664981834
0.11,-59.52645461418207
0.12,-59.306688550293295
0.13,-59.07407883384214
0.14,-58.82762186639231
0.15,-58.566078686881504
0.16,-58.28793903193745
0.17,-57.991377790500486
0.18,-57.674195967032766
0.19,-57.33374777912779
0.2,-56.96684559139775
0.21,-56.569635019471924
0.22,-56.13743966495934
0.23,-55.66454765324295
0.24,-55.14393544757102
0.25,-54.566899373840585
0.26,-53.92255827547343
0.27,-53.197174979750855
0.28,-52.3732250942692
0.29,-51.428102180267885
0.3,-50.332297955430455
0.31,-49.04683696232627
0.32,-47.519633225325215
0.33,-45.6803571956127
0.34,-43.433354904957866
0.35000000000000003,-40.6484288461572
0.36,-37.150596602301135
0.37,-32.71423516227262
0.38,-27.078832058898502
0.39,-20.02773346979595
0.4,-11.584493998490247
0.41000000000000003,-2.2701737237399358
0.42,6.9063319982926945
0.43,14.9434833940297
0.44,21.35164959774745
0.45,26.170258464275417
0.46,29.692841338444612
0.47000000000000003,32.24507467123661
0.48,34.09497210499703
0.49,35.439563832679355
0.5,36.41750474724709
0.51,37.12522537459422
0.52,37.63003443135084
0.53,37.97944699100618
0.54,38.2075040684184
0.55,38.3389894347276
0.56,38.39224346848474
0.5700000000000001,38.381053532732395
0.58,38.31594257102407
0.59,38.205056690128195
0.6,38.05478563025116
0.61,37.87020260111905
0.62,37.65538377298576
0.63,37.413637149055184
0.64,37.14767478974502
0.65,36.859740140558436
0.66,36.55170613720203
0.67,36.22514917419339
0.68,35.88140524555449
0.6900000000000001,35.52161727443968
0.7000000000000001,35.14676929133199
0.71,34.75771488310015
0.72,34.35520133349227
0.73,33.9398853989128
0.74,33.512351023556974
0.75,33.07312277511491
0.76,32.62267021069434
0.77,32.161420793761906
0.78,31.689766994898697
0.79,31.208070419804333
0.8,30.71666721229961
0.81,30.215872431470835
0.8200000000000001,29.705982993801232
0.8300000000000001,29.18728035008165
0.84,28.660033210913156
0.85,28.1244997680334
0.86,27.580928733814716
0.87,27.029561701255485
0.88,26.47063291923555
0.89,25.904372214068314
0.9,25.331002493512663
0.91,24.750744479851374
0.92,24.163814204411118
0.93,23.570424929745055
0.9400000000000001,22.970787138377357
0.9500000000000001,22.36510870462023
0.96,21.75359510761172
0.97,21.136449152763603
0.98,20.513872493273304
0.99,19.88606459100234
1.0,19.253222748657603
1.01,18.61554330363268
1.02,17.973220858175797
1.03,17.326446302855974
1.04,16.675410772961804
1.05,16.02030353377126
1.06,15.361311378619696
1.07,14.698619740911289
1.08,14.0324113962386
1.09,13.362867282127958
1.1,12.69016794141473
1.11,12.014490505069228
1.12,11.336010477280253
1.1300000000000001,10.654901499461735
1.1400000000000001,9.971334758852246
1.1500000000000001,9.285479724182524
1.16,8.597502662735497
1.17,7.907569444979404
1.18,7.215842736872994
1.19,6.522483007534616
1.2,5.827648803038677
1.21,5.131496357505164
1.22,4.434179684361588
1.23,3.7358505930807784
1.24,3.0366587361979627
1.25,2.336751538869734
1.26,1.6362745402432914
1.27,0.9353707310438384
1.28,0.23418146437674506
1.29,-0.4671545788246197
1.3,-1.1685001959860162
1.31,-1.8697203498199124
1.32,-2.570681922796
1.33,-3.2712536684512994
1.34,-3.9713062136051516
1.35,-4.670711969322868
1.36,-5.369345089759278
1.37,-6.067081567960837
1.3800000000000001,-6.763799103943431
1.3900000000000001,-7.459376372677894
1.4000000000000001,-8.153694230459035
1.41,-8.846635254519946
1.42,-9.53808346127338
1.43,-10.227924540709425
1.44,-10.916045704931848
1.45,-11.602335958407886
1.46,-12.286685949296068
1.47,-12.968988276191546
1.48,-13.649137468838608
1.49,-14.327030175631899
1.5,-15.00256539575172
1.51,-15.675644595681396
1.52,-16.34617199353165
1.53,-17.01405490771484
1.54,-17.679204080179744
1.55,-18.34153388074899
1.56,-19.000963055773994
1.57,-19.657414921763923
1.58,-20.310817905807003
1.59,-20.961106142307056
1.6,-21.60822005187245
1.61,-22.252107050249574
1.62,-22.892721988668523
1.6300000000000001,-23.530027983588525
1.6400000000000001,-24.16399714551433
1.6500000000000001,-24.794611507675974
1.6600000000000001,-25.42186357732727
1.67,-26.04575700369067
