time,m channel,h channel,n channel
0.0,0.0529,0.5961,0.3177
0.01,0.057735683681004624,0.5951881162753682,0.3182714618358494
0.02,0.06239220096278201,0.5942599744453131,0.3188513410106714
0.03,0.06686430253580516,0.5933193853654306,0.31943737895532576
0.04,0.07117187078024638,0.5923647657275872,0.3200304300505409
0.05,0.07533369453332932,0.5913945579502091,0.32063132488932544
0.06,0.0793674847934593,0.5904072186006297,0.32124087546721464
0.07,0.08329006610763652,0.5894011996531496,0.3218598855425189
0.08,0.08711749086982205,0.5883749302845563,0.32248915985366516
0.09,0.09086515542219899,0.5873267964026379,0.32312951425911146
0.1,0.09454795276743873,0.5862551169329324,0.32378178752699527
0.11,0.09818042546110382,0.5851581183348626,0.3244468537145257
0.12,0.10177691747998092,0.5840339053252596,0.32512563591247906
0.13,0.10535175077884451,0.5828804286215604,0.32581912124494167
0.14,0.10891940428948663,0.5816954477902454,0.3265283776408186
0.15,0.11249472415785831,0.5804764857822676,0.3272545739582981
0.16,0.116093152802559,0.5792207769720054,0.3279990024983389
0.17,0.11973098979930856,0.5779252047181573,0.32876310552975946
0.18,0.12342570011692125,0.5765862243854428,0.3295485073779092
0.19,0.12719628332934094,0.5751997675819217,0.3303570536121969
0.2,0.13106370455773328,0.5737611263697882,0.3311908575766475
0.21,0.13505144107970835,0.5722648021113973,0.3320523600901028
0.22,0.13918615377153865,0.5707043146458224,0.3329444034668491
0.23,0.14349851500824182,0.5690719613546567,0.33387032316807813
0.24,0.1480243161791409,0.5673584869286762,0.3348340715374391
0.25,0.1528058515303787,0.5655526615511094,0.3358403725349121
0.26,0.15789375784112208,0.563640708414777,0.33689492821505174
0.27,0.16334947589451138,0.5616055222428501,0.3380046956592946
0.28,0.16924854349478446,0.5594256049173075,0.3391782583634431
0.29,0.17568511890848976,0.5570735835347527,0.3404263374300421
0.3,0.18277825900627556,0.5545141402329546,0.34176250284212806
0.31,0.19068073344663194,0.5517011281035158,0.3432041745331398
0.32,0.19959158922801506,0.5485735978993707,0.34477405347215917
0.33,0.20977417850554853,0.5450505748209369,0.3465021820557514
0.34,0.22158211802290623,0.5410249535334507,0.34842892638517364
0.35000000000000003,0.2354960934133177,0.5363587269112907,0.35060924779921826
0.36,0.2521735244971607,0.5308864978544705,0.35311861594272026
0.37,0.2725064193728829,0.5244430038080606,0.3560604571036655
0.38,0.29765914586294534,0.5169350466820564,0.3595732852642538
0.39,0.32899748013757774,0.5084449880894305,0.3638309976261686
0.4,0.36773351735328746,0.4992650304377847,0.3690220232006649
0.41000000000000003,0.41417644659523645,0.4897675075234982,0.37529274229507187
0.42,0.46698872419250814,0.4802301137750104,0.38267221300961135
0.43,0.52329778765247,0.4707919199004051,0.39104102952725045
0.44,0.5797635976460289,0.46150613574533217,0.400179963687186
0.45,0.6336528435383784,0.4523899322067505,0.40985074329556154
0.46,0.6832545066607374,0.4434475997751247,0.41984913743429597
0.47000000000000003,0.7277694776108514,0.4346788844141314,0.43002011576173416
0.48,0.767028551243316,0.4260818314963761,0.44025264013976745
0.49,0.8012357534822911,0.417653805658496,0.4504690101077426
0.5,0.830788303822269,0.40939188901260676,0.46061516808800856
0.51,0.8561643525524705,0.4012930515178319,0.4706534495218206
0.52,0.8778577200082062,0.3933542303224932,0.48055753655705746
0.53,0.8963423074731623,0.3855723693279741,0.49030902950304533
0.54,0.912054424619951,0.3779444399769683,0.4998951287599395
0.55,0.925385535179235,0.370467452641276,0.5093070512205329
0.56,0.936680939863473,0.3631384629516488,0.5185389402593308
0.5700000000000001,0.9462416481699455,0.35595457533702946,0.5275870992468742
0.58,0.9543278602632242,0.34891294491394864,0.5364494466108023
0.59,0.9611631155336118,0.34201077838507415,0.5451251216095789
0.6,0.966938575139189,0.33524533432083625,0.5536141946885034
0.61,0.9718171317209066,0.32861392305069115,0.5619174522022862
0.62,0.9759372259028534,0.3221139062855782,0.5700362332732896
0.63,0.9794162655826868,0.3157426966106247,0.5779723054399961
0.64,0.9823536632467617,0.3094977568053886,0.5857277686050816
0.65,0.9848334751923459,0.3033765991633669,0.5933049801173496
0.66,0.9869267306543236,0.29737678470115614,0.600706494805624
0.67,0.9886933945618777,0.2914959223778848,0.6079350183650205
0.68,0.9901840453343019,0.2857316682883131,0.6149933701199387
0.6900000000000001,0.9914413512849564,0.2800817248359357,0.6218844518538971
0.7000000000000001,0.9925012808139712,0.2745438399179374,0.6286112237258662
0.71,0.9933941548488169,0.2691158061042595,0.635176684001917
0.72,0.9941455327302509,0.26379545982712,0.6415838526303509
0.73,0.9947769381907189,0.25858068075976404,0.6478357579611745
0.74,0.9953065220773579,0.2534693907120489,0.6539354255756266
0.75,0.9957496357389607,0.2484595520922273,0.6598858696445211
0.76,0.996119123022739,0.24354916940910587,0.6656900848056881
0.77,0.9964258442571493,0.23873628659420917,0.6713510402726385
0.78,0.9966789633492149,0.2340189865807723,0.6768716748492551
0.79,0.9968861901403413,0.2293953909274884,0.6822548927087537
0.8,0.9970540169372966,0.22486365891262397,0.6875035600809367
0.81,0.9971879177447445,0.22042198681612357,0.6926205023196954
0.8200000000000001,0.9972924955211598,0.2160686072830573,0.6976085018389955
0.8300000000000001,0.9973716172021505,0.21180178864068722,0.7024702963226344
0.84,0.9974285306090785,0.2076198342229321,0.7072085772600472
0.85,0.9974659628354084,0.2035210817016268,0.7118259888274998
0.86,0.9974861913382568,0.19950390250342168,0.7163251271828227
0.87,0.9974911266070086,0.1955667010800804,0.720708539715503
0.88,0.997482358773577,0.1917079143500726,0.7249787247852488
